#Sample_ID	R1-Illumina-Output	R2-Illumina-Output
0	HUMAN-CRC-101-G018-v85_S254_L001_R1_001.fastq	HUMAN-CRC-101-G018-v85_S254_L001_R2_001.fastq	
1	HUMAN-CRC-102-G019-v85_S255_L001_R1_001.fastq	HUMAN-CRC-102-G019-v85_S255_L001_R2_001.fastq	
2	HUMAN-CRC-103-G020-v85_S256_L001_R1_001.fastq	HUMAN-CRC-103-G020-v85_S256_L001_R2_001.fastq	
3	HUMAN-CRC-104-G021-v85_S257_L001_R1_001.fastq	HUMAN-CRC-104-G021-v85_S257_L001_R2_001.fastq	
4	HUMAN-CRC-105-G022-v85_S258_L001_R1_001.fastq	HUMAN-CRC-105-G022-v85_S258_L001_R2_001.fastq	
5	HUMAN-CRC-106-G023-v85_S259_L001_R1_001.fastq	HUMAN-CRC-106-G023-v85_S259_L001_R2_001.fastq	
6	HUMAN-CRC-107-G024-v85_S260_L001_R1_001.fastq	HUMAN-CRC-107-G024-v85_S260_L001_R2_001.fastq	
7	HUMAN-CRC-109-G026A-v85_S262_L001_R1_001.fastq	HUMAN-CRC-109-G026A-v85_S262_L001_R2_001.fastq	
8	HUMAN-CRC-110-G026B-v85_S263_L001_R1_001.fastq	HUMAN-CRC-110-G026B-v85_S263_L001_R2_001.fastq	
9	HUMAN-CRC-111-G026C-v85_S264_L001_R1_001.fastq	HUMAN-CRC-111-G026C-v85_S264_L001_R2_001.fastq	
10	HUMAN-CRC-112-G027-v85_S265_L001_R1_001.fastq	HUMAN-CRC-112-G027-v85_S265_L001_R2_001.fastq	
11	HUMAN-CRC-91-GL-1-v85_S245_L001_R1_001.fastq	HUMAN-CRC-91-GL-1-v85_S245_L001_R2_001.fastq	
12	HUMAN-CRC-92-Patient-1-v85_S246_L001_R1_001.fastq	HUMAN-CRC-92-Patient-1-v85_S246_L001_R2_001.fastq	
13	HUMAN-CRC-93-NC-v85_S199_L001_R1_001.fastq	HUMAN-CRC-93-NC-v85_S199_L001_R2_001.fastq	
14	HUMAN-CRC-94-G007D-v85_S247_L001_R1_001.fastq	HUMAN-CRC-94-G007D-v85_S247_L001_R2_001.fastq	
15	HUMAN-CRC-95-G0010B-v85_S248_L001_R1_001.fastq	HUMAN-CRC-95-G0010B-v85_S248_L001_R2_001.fastq	
16	HUMAN-CRC-96-G014D-v85_S249_L001_R1_001.fastq	HUMAN-CRC-96-G014D-v85_S249_L001_R2_001.fastq	
17	HUMAN-CRC-97-G015-v85_S250_L001_R1_001.fastq	HUMAN-CRC-97-G015-v85_S250_L001_R2_001.fastq	
18	HUMAN-CRC-98-G016-v85_S251_L001_R1_001.fastq	HUMAN-CRC-98-G016-v85_S251_L001_R2_001.fastq	
19	HUMAN-CRC-99-G016B-v85_S252_L001_R1_001.fastq	HUMAN-CRC-99-G016B-v85_S252_L001_R2_001.fastq	
20	HUMANR1.fastq	HUMANR2.fastq	
